字段名,英文,中文
$,$,$
account,Account,Account
applyAmount,Apply amount,Apply amount
applyState.apply,apply,申请
applyState.check,Check,查看
applyState.repay,Repay,还款
applyState.continueLoan,Continue Loan,续贷
availableAmount,Available balance,Available balance
back,返回,返回
bankCard,Collection bank card,Collection bank card
cancel,取消,取消
close,Close,Close
confirm,Confirm,Confirm
copy,copy,copy
days,days,days
done,Done,Done
fee,Fee,Fee
forget-password,忘记密码,忘记密码
free,Free,free
home,Home,首页
loading,Loading...,加载中...
loan,Loan,签约
loanAmount,Loan Amount,贷款金额
loanDate,Loan Date,贷款日期
loanDays,Loan Days,贷款天数
login.success,登录成功,登录成功
logout,Logout,退出登录
modify,Modify,修改
mxn,MXN,MXN
ok,OK,确定
old,old,旧
order,Order,订单
password-login,密码登录,密码登录
repayAmount,repay Amount,应还金额
repayDate,repayDate,应还日期
repayHint,请您保持良好的还款习惯,请您保持良好的还款习惯
repaymentAmount,Repayment amount,Repayment amount
screenTitle.payment,,Payment
screenTitle.historyBills,,History Bills
screenTitle.myCard,,My Card
screenTitle.contactUs,,Contact Us
screenTitle.aboutUs,,About Moneyya
screenTitle.faceRecognition,,Face Recognition
screenTitle.holdIDPhoto,,Hold ID Photo
screenTitle.WorkInfo,,工作信息
screenTitle.RelativeInfo,,亲属信息
screenTitle.IdcardImage,,影像信息
screenTitle.PersonInfo,,个人信息
screenTitle.BankInfo,,银行卡信息
screenTitle.authorizaiton,,授权说明
screenTitle.privacy,,隐私政策
screenTitle.loan,,Loan
secondPaymentAmount,Second repayment amount,Second repayment amount
secondPaymentDate,Second repayment date,Second repayment date
signin,登录,登录
signup,注册,注册
start,start,start
submit,提交,提交
transferAmount,Transfer amount,到手金额
validation-code-login,验证码登录,验证码登录
